listing_id,listing_name,listing_type,room_type,guests,bedrooms,beds,baths,has_tv,has_air_con,has_kitchen,has_wifi,has_pool,min_nights,cancellation_policy,num_reviews,rating_overall,rating_checkin,rating_cleanliness,rating_communication,rating_location,ttm_revenue,ttm_avg_rate,ttm_occupancy,ttm_revpar,ttm_reserved_days,ttm_available_days,l90d_revenue,l90d_avg_rate,l90d_occupancy,l90d_revpar,l90d_reserved_days,l90d_available_days
20643889,"Horizons 101 homey studio, w/ Wi-fi & Netflix",Condominium,Entire home,2,,1,1,Yes,Yes,Yes,Yes,Yes,3,Moderate,40,4.58,4.8,4.6,4.9,5,20064,1481.8,0.055,85.4,13,352,0,1505.2,0,0,0,90
20671307,Condo Unit with Balcony 14th floor near Ayala,Condominium,Entire home,2,,1,1,Yes,Yes,Yes,Yes,Yes,2,Moderate,34,4.47,4.7,4.3,4.7,4.8,102245,1592.1,0.214,346.6,63,302,9760,1384.7,0.3,488,6,84
20697984,RosecanGÇÖs Place @ Spaniada Residence Cebu City,Condominium,Entire home,2,1,1,1,Yes,Yes,Yes,Yes,Yes,1,Very Strict,160,4.89,4.9,4.8,4.9,4.9,125068,1606.7,0.36,563.4,80,285,61462,1516.4,0.464,731.7,39,51
20700200,"Condo,Swim pool @ Tallest Bldg @ Heart of the City",Condominium,Entire home,5,1,3,1,Yes,Yes,Yes,Yes,Yes,2,Very Strict,312,4.77,4.9,4.6,4.9,4.9,340043,1762.2,0.523,931.6,191,174,92298,1759.8,0.578,1025.5,52,38
20735644,Studio Living Horizons 101 Cebu/ Strong WIFI,Condominium,Entire home,2,,2,1,Yes,Yes,No,Yes,Yes,2,Flexible,179,4.63,4.8,4.7,4.8,4.8,178476,1429.3,0.531,740.6,128,237,13217,1230.6,0.344,413,11,79
20767712,5pax Seaview Garden Flat WiFi Pool Gym near Ayala,Others,Entire home,5,1,2,1,Yes,Yes,Yes,Yes,Yes,2,Very Strict,102,4.62,4.8,4.5,4.8,4.7,27335,1247.8,5.90E-02,77.2,21,344,0,1307.4,0,0,0,90
20991661,"Avida Tower One, IT Park, Cebu city",Condominium,Entire home,2,1,1,1,Yes,Yes,Yes,Yes,Yes,4,Flexible,42,4.6,4.9,4.5,4.8,4.9,30169,1790.6,4.90E-02,92.8,16,349,28384,1904.1,0.167,315.4,15,75
21065405,"Tallest in CEBU! 51st FLOOR, Mountain/City View!",Others,Entire home,2,1,1,1.5,Yes,Yes,Yes,Yes,Yes,2,Moderate,85,4.69,4.7,4.7,4.9,4.9,226985,1743.4,0.392,621.9,143,222,101669,1447.6,0.778,1129.7,70,20
21126783,Family-friendly studio unit in One Oasis Cebu,Condominium,Entire home,3,,2,1,Yes,Yes,Yes,Yes,No,28,Moderate,1,,,,,,14671,773,5.30E-02,41.2,19,346,4795,677.1,8.60E-02,59.2,7,83
21269256,Eleanor (Solinea Studio in Cebu Business Park),Condominium,Entire home,2,,1,1,Yes,Yes,Yes,Yes,Yes,7,Very Strict,130,4.8,5,4.7,4.9,4.9,419587,1638.3,0.757,1241.4,256,109,85159,1593.8,0.841,1351.7,53,37
21286161,Studio Condo Unit @ Cebu City Horizons 101,Condominium,Entire home,2,1,1,1,Yes,Yes,No,Yes,Yes,2,Moderate,88,4.86,5,4.9,5,4.9,33069,1461.5,0.078,111.7,23,342,9312,1418.3,0.14,186.2,7,83
21331097,Affordable cozy studio in Avida Towers IT Park,Condominium,Entire home,3,1,2,1,Yes,Yes,Yes,Yes,Yes,2,Moderate,318,4.8,4.9,4.7,4.9,5,351418,1412.9,0.685,962.8,250,115,92130,1376.9,0.744,1023.7,67,23
21420475,1 BR w/ Balcony + Netflix @ Horizons 101 Cebu City,Condominium,Entire home,4,1,1,1,Yes,Yes,Yes,Yes,Yes,1,Very Strict,57,4.7,4.8,4.8,4.8,4.9,172483,2190.3,0.26,567.4,79,286,30060,1970.6,0.211,423.4,15,75
21451972,1 BEDROOM SPACE WITH CENTRAL LOCATION IN CEBU CITY,Private room,Private room,,,2,0,Yes,Yes,No,Yes,No,1,Moderate,,,,,,,12324,1074.9,3.30E-02,33.8,12,353,5632,966,6.70E-02,62.6,6,84
21468260,300mbps fibr internet+netflix@ 21 Cebu I. T. Park,Condominium,Entire home,4,,1,1,Yes,Yes,Yes,Yes,Yes,2,Flexible,138,4.54,4.8,4.5,4.7,4.9,169720,2060,0.222,465,81,284,3792,2054.2,2.20E-02,42.1,2,88
21554186,Cosy Avida Towers Studio in IT Park,Others,Entire home,2,,1,1,Yes,Yes,Yes,Yes,Yes,2,Moderate,81,4.86,4.9,4.8,5,5,189614,1717.4,0.339,574.6,112,253,24038,1672.6,0.167,267.1,15,75
21578880,"Top Floor Condo in Banilad (Wifi, Pool, Gym)",Condominium,Entire home,2,,2,1,Yes,Yes,No,Yes,Yes,1,Moderate,35,4.63,4.9,4.6,4.9,4.8,57074,1319.1,0.13,177.2,42,323,1115,1201,1.10E-02,12.4,1,89
21635061,Shabby Chic Studio Near IT Park w/ Fiber Internet,Condominium,Entire home,2,1,1,1,Yes,Yes,Yes,Yes,Yes,1,Moderate,88,4.84,4.9,4.8,4.9,4.8,208910,1546.2,0.449,694.1,135,230,35360,1348.4,1,1360,26,64
21651599,SPACIOUS 1BR 44sqm STUDIO UNIT near AYALA MALL,Condominium,Entire home,2,1,1,1,Yes,Yes,Yes,Yes,No,7,Very Strict,82,4.65,4.8,4.5,4.6,4.8,308235,1805.6,0.565,1024,170,195,80758,1751.2,0.511,897.3,46,44
21703592,St. Mark Hotel Apartment 701,Private room,Private room,5,2,3,2,Yes,Yes,Yes,Yes,No,2,Very Strict,12,4.33,4.8,4.8,4.8,4.8,242616,6027.2,0.114,709.4,39,326,0,5803.8,0,0,0,90
21723272,4BR PENTHOUSE APARTMENT WITH VIEWS OF THE CITY,Others,Entire home,12,4,5,4.5,Yes,Yes,Yes,Yes,No,2,Strict,134,4.66,4.9,4.4,4.9,4.8,1863675,9641.5,0.589,5106,215,150,376618,8930.1,0.467,4184.6,42,48
21793550,1 Bedroom Condo Unit @ Avida Towers Cebu,Others,Entire home,2,1,1,1,Yes,Yes,Yes,Yes,Yes,3,Moderate,17,4.53,4.7,4.5,4.7,4.9,62203,1969.3,0.117,259.2,28,337,0,1837.9,0,0,0,90
21827146,"Myra's Bedsit 5@Horizons101 Condominium, Cebu City",Condominium,Entire home,4,,1,1,Yes,Yes,Yes,Yes,Yes,1,Strict,165,4.75,4.8,4.8,4.8,4.8,35045,1589.7,5.80E-02,96,21,344,1785,1510,1.10E-02,19.8,1,89
21833233,MyraGÇÖs Bedsit 6@Horizons 101 Condominium Cebu City,Condominium,Entire home,4,,1,1,Yes,Yes,Yes,Yes,Yes,1,Strict,182,4.77,4.8,4.8,4.8,4.9,84028,1550,0.185,282.9,55,310,23314,1538.1,0.167,259,15,75
21868058,Cebu IT Park Avida Towers Cebu| Studio | City View,Condominium,Entire home,2,1,1,1,Yes,Yes,Yes,Yes,Yes,10,Strict,18,4.56,4.6,4.5,4.8,4.9,15414,1336.4,3.30E-02,42.2,12,353,0,1339.1,0,0,0,90
21948312,Sunny 2br condo in SRP | Near NuSTAR & SM Seaside,Condominium,Entire home,4,2,3,1,Yes,Yes,No,Yes,Yes,2,Moderate,26,4.73,4.9,4.8,4.8,4.8,602024,2577.9,0.638,1649.4,233,132,212484,2563.6,0.911,2360.9,82,8
